time,errors
14:40:15,253
14:40:16,232
14:40:17,242
14:40:18,148
14:40:19,253
14:40:20,194
14:40:21,211
14:40:22,274
14:40:23,268
14:40:24,241
14:40:25,241
14:40:26,11
14:40:27,15
14:40:28,15
14:40:29,13
14:40:30,11
14:40:31,14
14:40:32,78
14:40:33,193
14:40:34,235
14:40:35,249
14:40:36,279
14:40:37,200
14:40:38,267
14:40:39,248
14:40:40,272
14:40:41,225
14:40:42,283
14:40:43,305
14:40:44,300
14:40:45,211
14:40:46,248
14:40:47,271
14:40:48,281
14:40:49,223
14:40:50,202
14:40:51,200
14:40:52,215
14:40:53,216
14:40:54,251
14:40:55,234
14:40:56,278
14:40:57,295
14:40:58,258
14:40:59,222
14:41:00,232
14:41:01,253
14:41:02,262
14:41:03,167
14:41:04,227
14:41:05,241
14:41:06,257
14:41:07,220
14:41:08,219
14:41:09,297
14:41:10,292
14:41:11,262
14:41:12,253
14:41:13,261
14:41:14,291
14:41:15,260
14:41:16,193
14:41:17,194
14:41:18,258
14:41:19,265
14:41:20,270
14:41:21,196
14:41:22,278
14:41:23,255
14:41:24,235
14:41:25,207
14:41:26,268
14:41:27,266
14:41:28,200
14:41:29,157
14:41:30,189
14:41:31,244
14:41:32,200
14:41:33,127
14:41:34,129
14:41:35,97
14:41:36,139
14:41:37,247
14:41:38,252
14:41:39,249
14:41:40,179
14:41:41,225
14:41:42,269
14:41:43,264
14:41:44,192
14:41:45,250
14:41:46,243
14:41:47,232
14:41:48,228
14:41:49,198
14:41:50,247
14:41:51,203
14:41:52,221
14:41:53,177
14:41:54,160
14:41:55,234
14:41:56,264
14:41:57,274
14:41:58,155
14:41:59,204
14:42:00,227
14:42:01,224
14:42:02,215
14:42:03,208
14:42:04,230
14:42:05,239
14:42:06,248
14:42:07,186
14:42:08,228
14:42:09,242
14:42:10,265
14:42:11,198
14:42:12,252
14:42:13,280
14:42:14,262
14:42:15,201
14:42:16,246
14:42:17,235
14:42:18,224
14:42:19,184
14:42:20,180
14:42:21,93
14:42:29,212
14:42:30,198
14:42:32,12
14:42:33,2
14:42:34,4
14:42:35,7
14:42:36,20
14:42:37,3
14:42:38,2
14:42:39,13
14:42:40,7
14:42:41,2
14:42:42,12
14:42:43,87
14:42:44,4
14:42:45,7
14:42:46,25
14:42:47,3
14:42:48,2
14:42:49,13
14:42:50,7
14:42:51,2
14:42:52,12
14:42:53,2
14:42:54,4
14:42:55,7
14:42:56,20
14:42:57,3
14:42:58,2
14:42:59,13
14:43:00,10
14:43:01,2
14:43:02,12
14:43:03,2
14:43:04,4
14:43:05,7
14:43:06,23
14:43:07,3
14:43:08,4
14:43:09,13
14:43:10,7
14:43:11,2
14:43:12,12
14:43:13,2
14:43:14,4
14:43:15,7
14:43:16,20
14:43:17,3
14:43:18,2
14:43:19,14
14:43:20,7
14:43:21,2
14:43:22,12
14:43:23,2
14:43:24,4
14:43:25,7
14:43:26,20
14:43:27,3
14:43:28,8
14:43:29,13
14:43:30,10
14:43:31,2
14:43:32,12
14:43:33,2
14:43:34,4
14:43:35,7
14:43:36,20
14:43:37,3
14:43:38,2
14:43:39,13
14:43:40,7
14:43:41,2
14:43:42,12
14:43:43,2
14:43:44,4
14:43:45,7
14:43:46,20
14:43:47,3
14:43:48,2
14:43:49,13
14:43:50,7
14:43:51,2
14:43:52,12
14:43:53,2
14:43:54,4
14:43:55,7
14:43:56,20
14:43:57,3
14:43:58,2
14:43:59,13
14:44:00,10
14:44:01,2
14:44:02,12
14:44:03,2
14:44:04,4
14:44:05,7
14:44:06,20
14:44:07,6
14:44:08,4
14:44:09,13
14:44:10,7
14:44:11,2
